dataset,task,RandomForest_random_mean,RandomForest_random_sd,RandomForest_scaffold_mean,RandomForest_scaffold_sd,XGBoost_random_mean,XGBoost_random_sd,XGBoost_scaffold_mean,XGBoost_scaffold_sd,MLP_random_mean,MLP_random_sd,MLP_scaffold_mean,MLP_scaffold_sd,GNN_random_mean,GNN_random_sd,GNN_scaffold_mean,GNN_scaffold_sd,all_random_mean,all_scaffold_mean,drop
clintox,FDA_APPROVED,0.9612,0.0161,0.9677,0.0297,0.9814,0.0127,0.9778,0.0214,0.9606,0.0066,0.9648,0.0261,0.9784,0.0122,0.9786,0.016,0.9704,0.9722,0.0019
clintox,CT_TOX,0.1437,0.0882,0.0975,0.0599,0.1843,0.0592,0.1602,0.0912,0.1874,0.0878,0.0857,0.0638,0.0688,0.0379,0.1742,0.1149,0.1461,0.1294,-0.0167
sider,Hepatobiliary disorders,0.7482,0.0134,0.746,0.0367,0.7218,0.0298,0.7431,0.0187,0.7117,0.0211,0.7289,0.0314,0.6588,0.0205,0.7098,0.0497,0.7101,0.7319,0.0218
sider,Metabolism and nutrition disorders,0.8427,0.0223,0.7888,0.0453,0.8326,0.019,0.7618,0.0421,0.8223,0.0104,0.7892,0.0457,0.8029,0.0424,0.8024,0.0543,0.8251,0.7856,-0.0396
sider,Product issues,0.0299,0.0128,0.0313,0.0111,0.0315,0.0172,0.0337,0.0162,0.0338,0.0166,0.0443,0.0519,0.0657,0.0924,0.0475,0.0298,0.0402,0.0392,-0.001
sider,Eye disorders,0.7084,0.0393,0.7454,0.0374,0.6971,0.0302,0.7338,0.0487,0.7107,0.0472,0.7309,0.0282,0.6853,0.0654,0.7098,0.0451,0.7004,0.73,0.0296
sider,Investigations,0.9146,0.0239,0.9032,0.0126,0.9024,0.0285,0.9103,0.0236,0.9014,0.0213,0.9063,0.0309,0.8832,0.0363,0.917,0.0164,0.9004,0.9092,0.0088
sider,Musculoskeletal and connective tissue disorders,0.8193,0.0428,0.8086,0.0354,0.7989,0.0303,0.8307,0.0177,0.7694,0.0314,0.7987,0.0555,0.7751,0.0284,0.8268,0.0326,0.7907,0.8162,0.0255
sider,Gastrointestinal disorders,0.9618,0.0136,0.9649,0.0192,0.9636,0.0187,0.9683,0.0195,0.9517,0.0161,0.9672,0.015,0.9421,0.0205,0.9601,0.0162,0.9548,0.9651,0.0103
sider,Social circumstances,0.3627,0.0312,0.3623,0.083,0.3044,0.0364,0.344,0.0951,0.3262,0.0628,0.3407,0.0664,0.2408,0.0722,0.3282,0.0907,0.3085,0.3438,0.0353
sider,Immune system disorders,0.8061,0.0281,0.803,0.0363,0.7868,0.0468,0.8048,0.0246,0.7797,0.0467,0.8092,0.0452,0.8152,0.0202,0.817,0.0387,0.7969,0.8085,0.0115
sider,Reproductive system and breast disorders,0.7827,0.0351,0.7759,0.0538,0.7395,0.0446,0.734,0.0593,0.7255,0.03,0.7329,0.0508,0.6836,0.0489,0.6963,0.0986,0.7328,0.7348,0.002
sider,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.5339,0.0593,0.5936,0.0859,0.4762,0.0894,0.5442,0.068,0.4319,0.0519,0.5049,0.0687,0.4002,0.0688,0.4977,0.0714,0.4605,0.5351,0.0746
sider,General disorders and administration site conditions,0.9384,0.0165,0.9536,0.0189,0.9424,0.0175,0.953,0.0147,0.9363,0.0166,0.94,0.0325,0.9076,0.0281,0.9408,0.0287,0.9312,0.9468,0.0157
sider,Endocrine disorders,0.5067,0.0342,0.4697,0.0865,0.5004,0.0293,0.4645,0.0789,0.4745,0.0251,0.4482,0.0699,0.3834,0.0667,0.3667,0.1137,0.4662,0.4373,-0.029
sider,Surgical and medical procedures,0.2384,0.0206,0.2069,0.0456,0.2335,0.0446,0.177,0.0564,0.2351,0.018,0.1855,0.0341,0.2214,0.0338,0.2135,0.0287,0.2321,0.1957,-0.0364
sider,Vascular disorders,0.88,0.0543,0.8601,0.0084,0.861,0.0491,0.8631,0.0319,0.8706,0.0317,0.8483,0.0195,0.8434,0.0436,0.86,0.0153,0.8638,0.8579,-0.0059
sider,Blood and lymphatic system disorders,0.8102,0.055,0.8262,0.0588,0.803,0.0524,0.8096,0.0493,0.7595,0.073,0.7919,0.0399,0.7774,0.0859,0.8306,0.048,0.7875,0.8146,0.027
sider,Skin and subcutaneous tissue disorders,0.9552,0.0125,0.9687,0.0052,0.9408,0.0134,0.9634,0.0139,0.9388,0.0119,0.963,0.0074,0.9424,0.015,0.9704,0.0083,0.9443,0.9664,0.0221
sider,"Congenital, familial and genetic disorders",0.3067,0.0501,0.2883,0.0926,0.2559,0.0503,0.2401,0.0362,0.2703,0.086,0.2292,0.0625,0.2345,0.0458,0.2455,0.0933,0.2668,0.2508,-0.0161
sider,Infections and infestations,0.8248,0.0389,0.8035,0.039,0.8186,0.0409,0.792,0.0364,0.8092,0.0346,0.7858,0.0367,0.7892,0.0408,0.7757,0.0315,0.8105,0.7892,-0.0212
sider,"Respiratory, thoracic and mediastinal disorders",0.8291,0.0251,0.7887,0.0287,0.818,0.0332,0.8282,0.0222,0.8113,0.0276,0.8228,0.0281,0.8028,0.0313,0.822,0.0299,0.8153,0.8154,0.0001
sider,Psychiatric disorders,0.8074,0.0393,0.8785,0.0331,0.7992,0.0354,0.8209,0.0586,0.7943,0.0504,0.8245,0.0382,0.7509,0.0436,0.8136,0.0315,0.788,0.8344,0.0464
sider,Renal and urinary disorders,0.7854,0.0565,0.8027,0.0403,0.7782,0.0294,0.799,0.0416,0.78,0.048,0.7995,0.0232,0.7375,0.0433,0.8034,0.0356,0.7703,0.8012,0.0309
sider,"Pregnancy, puerperium and perinatal conditions",0.2732,0.0975,0.192,0.0601,0.1967,0.0684,0.1762,0.0648,0.2404,0.0978,0.178,0.0534,0.1573,0.0499,0.1694,0.0353,0.2169,0.1789,-0.038
sider,Ear and labyrinth disorders,0.6456,0.0735,0.675,0.0473,0.6172,0.0606,0.6023,0.0382,0.5935,0.0448,0.6243,0.0645,0.5394,0.0479,0.5916,0.0459,0.5989,0.6233,0.0244
sider,Cardiac disorders,0.8209,0.0515,0.843,0.0427,0.8234,0.043,0.8292,0.0275,0.8003,0.041,0.8262,0.0488,0.7595,0.0542,0.8103,0.0334,0.801,0.8272,0.0262
sider,Nervous system disorders,0.9657,0.0148,0.9809,0.0076,0.963,0.0125,0.9707,0.0157,0.9505,0.0288,0.9648,0.0123,0.9384,0.0135,0.9668,0.0182,0.9544,0.9708,0.0164
sider,"Injury, poisoning and procedural complications",0.7564,0.066,0.7714,0.0354,0.7684,0.0654,0.7878,0.0366,0.7654,0.057,0.7666,0.0376,0.7286,0.06,0.726,0.0229,0.7547,0.7629,0.0082
