dataset,task,RandomForest_random_mean,RandomForest_random_sd,RandomForest_scaffold_mean,RandomForest_scaffold_sd,XGBoost_random_mean,XGBoost_random_sd,XGBoost_scaffold_mean,XGBoost_scaffold_sd,MLP_random_mean,MLP_random_sd,MLP_scaffold_mean,MLP_scaffold_sd,GNN_random_mean,GNN_random_sd,GNN_scaffold_mean,GNN_scaffold_sd,all_random_mean,all_scaffold_mean,drop
sider,Metabolism and nutrition disorders,0.6536,0.0508,0.5723,0.0684,0.6525,0.0527,0.5274,0.0296,0.6228,0.0312,0.5604,0.021,0.6227,0.0321,0.6156,0.038,0.6379,0.5689,-0.069
sider,Product issues,0.5929,0.1168,0.5428,0.1347,0.5695,0.1168,0.4997,0.3106,0.6132,0.1533,0.4258,0.228,0.4928,0.2774,0.5827,0.2247,0.5671,0.5127,-0.0543
sider,Eye disorders,0.6351,0.0522,0.6526,0.0297,0.6286,0.0263,0.634,0.0545,0.6396,0.0391,0.618,0.0422,0.5995,0.0689,0.6223,0.0388,0.6257,0.6317,0.006
sider,Investigations,0.7289,0.0434,0.6051,0.0398,0.715,0.0409,0.6264,0.0673,0.7133,0.0483,0.6119,0.0623,0.6644,0.0549,0.6584,0.0475,0.7054,0.6254,-0.08
sider,Musculoskeletal and connective tissue disorders,0.6757,0.0664,0.5787,0.0439,0.6667,0.0531,0.5991,0.0239,0.6008,0.0484,0.5625,0.0404,0.6174,0.0492,0.6185,0.0476,0.6401,0.5897,-0.0504
sider,Gastrointestinal disorders,0.7349,0.0282,0.6865,0.1104,0.7481,0.0364,0.6598,0.1273,0.6926,0.0511,0.7039,0.0669,0.6388,0.0341,0.6502,0.0208,0.7036,0.6751,-0.0285
sider,Social circumstances,0.6736,0.0192,0.5956,0.0569,0.5942,0.0401,0.625,0.0557,0.5944,0.0403,0.6452,0.0457,0.5265,0.0586,0.6213,0.0675,0.5972,0.6218,0.0246
sider,Immune system disorders,0.6313,0.0538,0.5843,0.0516,0.6096,0.0745,0.5862,0.0404,0.5951,0.0725,0.5902,0.0572,0.6286,0.0481,0.5707,0.0516,0.6162,0.5829,-0.0333
sider,Reproductive system and breast disorders,0.7456,0.0405,0.689,0.0491,0.7121,0.0208,0.6549,0.0304,0.6956,0.0131,0.6536,0.0309,0.6877,0.0535,0.6344,0.0529,0.7103,0.658,-0.0523
sider,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.7047,0.023,0.7225,0.059,0.6516,0.077,0.6919,0.0598,0.6456,0.0475,0.6848,0.051,0.6318,0.04,0.6974,0.0388,0.6585,0.6991,0.0407
sider,General disorders and administration site conditions,0.6463,0.0833,0.6173,0.094,0.6747,0.0568,0.6174,0.0751,0.6696,0.042,0.5575,0.1008,0.5491,0.0586,0.5584,0.0661,0.6349,0.5877,-0.0473
sider,Endocrine disorders,0.7252,0.0448,0.6875,0.0427,0.7129,0.0224,0.6915,0.0204,0.6774,0.0322,0.6732,0.0407,0.6479,0.0426,0.6296,0.0879,0.6908,0.6704,-0.0204
sider,Surgical and medical procedures,0.5721,0.0527,0.5931,0.0342,0.5571,0.0283,0.5186,0.0549,0.5924,0.0365,0.5328,0.0311,0.5831,0.0396,0.6255,0.0777,0.5762,0.5675,-0.0087
sider,Vascular disorders,0.6552,0.0973,0.583,0.039,0.6383,0.0746,0.5998,0.0183,0.6571,0.0679,0.5843,0.0222,0.6071,0.0664,0.6008,0.0363,0.6395,0.592,-0.0475
sider,Blood and lymphatic system disorders,0.7196,0.0428,0.7051,0.0841,0.6994,0.0501,0.6889,0.0272,0.666,0.0552,0.6769,0.0193,0.6748,0.073,0.7291,0.0478,0.69,0.7,0.01
sider,Skin and subcutaneous tissue disorders,0.6603,0.0474,0.6076,0.0952,0.581,0.1189,0.5788,0.0761,0.5677,0.0741,0.5578,0.0635,0.5947,0.0833,0.6054,0.0787,0.6009,0.5874,-0.0135
sider,"Congenital, familial and genetic disorders",0.6318,0.0352,0.5988,0.0426,0.5649,0.0497,0.5586,0.0203,0.5923,0.0573,0.5232,0.0787,0.555,0.0656,0.5687,0.0541,0.586,0.5623,-0.0237
sider,Infections and infestations,0.6701,0.029,0.5949,0.0582,0.6512,0.0633,0.5882,0.0658,0.65,0.0341,0.57,0.0507,0.6123,0.0319,0.5627,0.0493,0.6459,0.5789,-0.067
sider,"Respiratory, thoracic and mediastinal disorders",0.6456,0.0505,0.5608,0.0171,0.6463,0.052,0.6051,0.0525,0.6353,0.0296,0.5935,0.0629,0.6246,0.0664,0.6161,0.0657,0.6379,0.5939,-0.044
sider,Psychiatric disorders,0.6383,0.0627,0.6801,0.0475,0.6206,0.0527,0.5954,0.083,0.6111,0.0394,0.5979,0.0494,0.5832,0.0265,0.5859,0.0377,0.6133,0.6148,0.0015
sider,Renal and urinary disorders,0.6751,0.0636,0.6397,0.0325,0.6677,0.0301,0.6356,0.0498,0.6678,0.0318,0.6281,0.0291,0.6331,0.0553,0.6272,0.037,0.6609,0.6327,-0.0283
sider,"Pregnancy, puerperium and perinatal conditions",0.6426,0.1015,0.6285,0.0574,0.5816,0.0953,0.6172,0.0769,0.6345,0.111,0.5576,0.0595,0.6031,0.0687,0.6756,0.041,0.6155,0.6197,0.0042
sider,Ear and labyrinth disorders,0.6785,0.0658,0.6624,0.0236,0.6255,0.0606,0.6051,0.0681,0.6044,0.0465,0.6042,0.0457,0.5739,0.0576,0.6003,0.0359,0.6206,0.618,-0.0026
sider,Cardiac disorders,0.6921,0.0647,0.6665,0.0763,0.6982,0.0661,0.6513,0.0383,0.6424,0.0565,0.6546,0.0745,0.6112,0.0731,0.651,0.0523,0.661,0.6558,-0.0051
sider,Nervous system disorders,0.7348,0.0586,0.7693,0.0679,0.7182,0.0406,0.6929,0.1125,0.6674,0.1014,0.6571,0.1123,0.6285,0.0439,0.6721,0.1016,0.6872,0.6979,0.0106
sider,"Injury, poisoning and procedural complications",0.5955,0.0492,0.6182,0.0333,0.5935,0.0643,0.6202,0.0522,0.6101,0.0592,0.5943,0.0301,0.5596,0.0311,0.5546,0.0422,0.5897,0.5968,0.0071
