,smiles
171,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
172,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1
173,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
174,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
175,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
176,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
177,CC(C)NCC(O)COc1cccc2[nH]ccc12
178,CC(C)NCC(O)COc1cccc2ccccc12
179,CC(C)NCC(O)c1cc(O)cc(O)c1
180,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
181,CC(C)NCC(O)c1ccc(O)c(O)c1
182,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
183,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
184,CC(C)OC(=O)CCC/C=C/CC1C(O)CC(O)C1/C=C/C(F)(F)COc1ccccc1
185,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1
186,CC(C)OC(=O)CCCC=CC[C@@H]1[C@@H](C=CC(O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O
187,CC(C)OC(=O)OCOP(=O)(CO[C@@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C
188,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)C(C)(F)[C@@H]1O)Oc1ccccc1
189,CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CCSCC(=O)NC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(N)=O)NC1=O
190,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21
191,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
192,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
193,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O
194,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
195,CC(C)c1cccc(C(C)C)c1O
196,CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O
197,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
